Call Time,Call ID,Direction,Status,Ringing,Talking,Cost,day,week,Hour,Ring time,IVR Time,Wait Time in Queue,Total Waiting Time (queue+ring),Talk Time,Total Call Duration (excl IVR),Environment (from Extension),SLA breach,Volume,Abandon,Abandon (within 10s),Year,Month,Day,Transfer
2025-08-08 22:56:08,00000000-01dc-08a6-cae7-2d56000028f3,Inbound,Answered,00:00:00,00:00:14,0,08/08/2025,32,22,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 22:56:08,00000000-01dc-08a6-cae7-2d56000028f3,Inbound,Unanswered,00:00:00,00:00:00,0,08/08/2025,32,22,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 22:55:37,00000000-01dc-08a6-cae7-2d56000028f3,Inbound,Answered,00:00:00,00:00:31,0,08/08/2025,32,22,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 20:34:30,00000000-01dc-0893-1439-4b55000028f2,Inbound Queue,Unanswered,00:00:00,00:00:29,0,08/08/2025,32,20,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 20:11:33,00000000-01dc-088f-cdc6-ce61000028f1,Inbound,Answered,00:00:00,00:00:06,0,08/08/2025,32,20,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 20:11:19,00000000-01dc-088f-cdc6-ce61000028f1,Inbound Queue,Unanswered,00:00:00,00:00:14,0,08/08/2025,32,20,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 20:11:04,00000000-01dc-088f-cdc6-ce61000028f1,Inbound,Answered,00:00:00,00:00:15,0,08/08/2025,32,20,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:41:43,00000000-01dc-088b-8520-df5f000028f0,Inbound,Answered,00:00:12,00:06:59,0,08/08/2025,32,19,12,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:41:21,00000000-01dc-088b-8520-df5f000028f0,Inbound Queue,Waiting,00:00:00,00:00:34,0,08/08/2025,32,19,0,,34,34,419,453,,0,1,0,0,2025,8,8,0
2025-08-08 19:41:08,00000000-01dc-088b-8520-df5f000028f0,Inbound,Answered,00:00:00,00:00:13,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:40:54,00000000-01dc-088b-8520-df5f000028f0,Inbound,Answered,00:00:00,00:00:14,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:40:42,00000000-01dc-088b-8520-df5f000028f0,Inbound,Answered,00:00:00,00:00:12,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:40:24,00000000-01dc-088b-8520-df5f000028f0,Inbound,Answered,00:00:00,00:00:18,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:30:33,00000000-01dc-0889-f722-9feb000028ef,Inbound,Answered,00:00:10,00:06:55,0,08/08/2025,32,19,10,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:30:11,00000000-01dc-0889-f722-9feb000028ef,Inbound Queue,Waiting,00:00:00,00:00:32,0,08/08/2025,32,19,0,,32,32,415,447,,0,1,0,0,2025,8,8,0
2025-08-08 19:29:56,00000000-01dc-0889-f722-9feb000028ef,Inbound,Answered,00:00:00,00:00:14,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:29:35,00000000-01dc-0889-f722-9feb000028ef,Inbound,Answered,00:00:00,00:00:22,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:29:16,00000000-01dc-0889-f722-9feb000028ef,Inbound,Answered,00:00:00,00:00:19,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:26:28,00000000-01dc-0889-9300-f563000028ee,Inbound Queue,Unanswered,00:00:00,00:00:29,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:25:26,00000000-01dc-0889-6e00-5d28000028ed,Inbound,Answered,00:00:00,00:01:31,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:21:04,00000000-01dc-0888-a559-bf7a000028ec,Inbound,Answered,00:00:05,00:06:08,0,08/08/2025,32,19,5,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:20:42,00000000-01dc-0888-a559-bf7a000028ec,Inbound Queue,Waiting,00:00:00,00:00:27,0,08/08/2025,32,19,0,,27,27,368,395,,0,1,0,0,2025,8,8,0
2025-08-08 19:20:21,00000000-01dc-0888-a559-bf7a000028ec,Inbound,Answered,00:00:00,00:00:21,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:20:10,00000000-01dc-0888-a559-bf7a000028ec,Inbound,Answered,00:00:00,00:00:11,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:19:49,00000000-01dc-0888-a559-bf7a000028ec,Inbound,Answered,00:00:00,00:00:21,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:20:09,00000000-01dc-0888-7a22-8fb1000028eb,Inbound,Answered,00:00:09,00:07:46,0,08/08/2025,32,19,9,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:19:27,00000000-01dc-0888-7a22-8fb1000028eb,Inbound Queue,Waiting,00:00:00,00:00:50,0,08/08/2025,32,19,0,,50,50,466,516,,0,1,0,0,2025,8,8,0
2025-08-08 19:19:12,00000000-01dc-0888-7a22-8fb1000028eb,Inbound,Answered,00:00:00,00:00:16,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:18:52,00000000-01dc-0888-7a22-8fb1000028eb,Inbound,Answered,00:00:00,00:00:19,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 19:18:37,00000000-01dc-0888-7a22-8fb1000028eb,Inbound,Answered,00:00:00,00:00:16,0,08/08/2025,32,19,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 18:56:05,00000000-01dc-0885-4505-1388000028ea,Inbound,Answered,00:00:00,00:01:23,0,08/08/2025,32,18,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 18:55:39,00000000-01dc-0885-4505-1388000028ea,Inbound,Answered,00:00:00,00:00:26,0,08/08/2025,32,18,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 18:56:36,00000000-01dc-0885-285a-0edb000028e9,Inbound,Answered,00:00:18,00:06:00,0,08/08/2025,32,18,18,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 18:55:55,00000000-01dc-0885-285a-0edb000028e9,Inbound Queue,Waiting,00:00:00,00:00:59,0,08/08/2025,32,18,0,,59,59,360,419,,1,1,0,0,2025,8,8,0
2025-08-08 18:55:38,00000000-01dc-0885-285a-0edb000028e9,Inbound,Answered,00:00:00,00:00:17,0,08/08/2025,32,18,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 18:55:20,00000000-01dc-0885-285a-0edb000028e9,Inbound,Answered,00:00:00,00:00:17,0,08/08/2025,32,18,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 18:54:51,00000000-01dc-0885-285a-0edb000028e9,Inbound,Answered,00:00:00,00:00:30,0,08/08/2025,32,18,0,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 18:50:51,00000000-01dc-0884-6a86-1fda000028e8,Inbound,Answered,00:00:12,00:06:14,0,08/08/2025,32,18,12,,,,,0,,0,0,0,0,2025,8,8,0
2025-08-08 18:50:28,00000000-01dc-0884-6a86-1fda000028e8,Inbound Queue,Waiting,00:00:00,00:00:35,0,08/08/2025,32,18,0,,35,35,374,409,,0,1,0,0,2025,8,8,0
