Case ID,Created Date,Closed Date,Case Origin,Number of Emails Received,Number of Emails Sent,Contact Reason,Bucket,Topic,Sub-Topic
500dV00000Dt3ApQAJ,2025-08-04 04:33:14,,Backoffice,,2,Systemic in Nature,Account Opening,Account Opening - MISC,
500dV00000DtsgGQAR,2025-08-04 08:11:24,2025-08-04 12:32:53,Phone,,2,System Issue,Account Management,Account Management - 2FA,
500dV00000DtsgIQAR,2025-08-04 08:24:10,2025-08-04 14:17:02,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,Securities Statement
500dV00000DttXXQAZ,2025-08-04 00:48:01,2025-08-04 14:17:02,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Dtv80QAB,2025-08-04 00:51:30,2025-08-04 14:00:30,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DtvNzQAJ,2025-08-04 00:38:03,,Form_Web,4,3,Systemic in Nature,Account Management,Account Management - Cancellation,
500dV00000Dtx8HQAR,2025-08-04 00:15:24,2025-08-08 13:51:55,Backoffice,,1,Systemic in Nature,Account Opening,Account Opening - MISC,
500dV00000Du1V6QAJ,2025-08-04 06:26:01,2025-08-05 10:13:25,Form_Mobile,2,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du1ewQAB,2025-08-04 01:02:27,2025-08-04 14:00:21,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du35RQAR,2025-08-04 00:35:49,2025-08-04 12:04:52,Form_Mobile,1,,Systemic in Nature,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du49cQAB,2025-08-04 01:00:52,,Form_Mobile,1,,Null,Taxes,Taxes - MISC,
500dV00000Du5IeQAJ,2025-08-04 04:58:30,2025-08-04 15:30:23,Form_Mobile,1,2,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du5gpQAB,2025-08-04 02:52:38,2025-08-04 14:00:21,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du5nBQAR,2025-08-04 02:17:32,2025-08-04 14:00:21,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du7U3QAJ,2025-08-04 00:46:24,2025-08-04 14:00:30,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du7oyQAB,2025-08-04 07:25:28,2025-08-05 08:18:21,Form_Mobile,1,1,Systemic in Nature,Payments,Payments - Deposits,
500dV00000Du7p0QAB,2025-08-04 07:49:42,2025-08-04 13:59:49,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du7p2QAB,2025-08-04 07:57:55,2025-08-04 14:18:47,Email,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du86nQAB,2025-08-04 08:00:25,2025-08-07 15:58:56,Form_Mobile,1,,Systemic in Nature,Broker Trading,Broker Trading - Savings Plans,
500dV00000Du8Y8QAJ,2025-08-04 01:19:10,2025-08-04 14:18:47,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du8l5QAB,2025-08-04 01:28:37,2025-08-04 14:18:47,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du8pqQAB,2025-08-04 01:10:57,2025-08-04 14:00:21,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du9CQQAZ,2025-08-04 00:19:22,,Form_Mobile,2,1,New Scalable,Broker Trading,Broker Trading - Savings Plans,
500dV00000Du9CSQAZ,2025-08-04 00:45:45,2025-08-04 14:00:30,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du9E3QAJ,2025-08-04 00:45:31,2025-08-04 14:18:47,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000Du9kJQAR,2025-08-04 00:50:04,2025-08-04 14:00:30,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuATSQA3,2025-08-04 00:54:30,2025-08-04 14:00:21,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuAtMQAV,2025-08-04 09:44:23,2025-08-05 11:02:53,Form_Mobile,2,2,Null,Account Opening,Account Opening - Opening Process,
500dV00000DuBB0QAN,2025-08-04 02:21:46,2025-08-04 14:00:21,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuBxQQAV,2025-08-04 01:21:51,,Form_Mobile,2,2,Systemic in Nature,Broker Portfolio Management,Broker Portfolio Management - MISC,
500dV00000DuBz1QAF,2025-08-04 01:31:17,2025-08-04 14:00:21,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuC2EQAV,2025-08-04 01:31:10,2025-08-04 14:00:21,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuCiLQAV,2025-08-04 08:03:28,2025-08-04 13:59:39,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuD9iQAF,2025-08-04 04:51:34,2025-08-04 14:00:21,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuDjDQAV,2025-08-04 05:50:42,,Form_Mobile,2,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuDuNQAV,2025-08-04 06:42:49,2025-08-04 14:00:11,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuEGyQAN,2025-08-04 03:11:33,2025-08-04 14:00:21,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuEdYQAV,2025-08-04 06:53:09,2025-08-04 14:18:47,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuF1iQAF,2025-08-04 06:24:05,,Form_Mobile,2,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuFpxQAF,2025-08-04 04:24:27,2025-08-04 14:18:47,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuGKPQA3,2025-08-04 06:25:52,2025-08-05 08:09:07,Form_Mobile,1,1,Systemic in Nature,Account Management,Account Management - Client Documents,Portfolio Report
500dV00000DuGkHQAV,2025-08-04 05:41:24,2025-08-04 14:00:11,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuH6xQAF,2025-08-04 06:00:21,2025-08-04 14:00:11,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuHWXQA3,2025-08-04 03:01:05,2025-08-05 08:09:26,Form_Web,1,1,Systemic in Nature,Account Management,Account Management - Client Documents,Portfolio Report
500dV00000DuHWcQAN,2025-08-04 06:54:45,2025-08-04 13:59:59,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuHd4QAF,2025-08-04 06:52:03,2025-08-04 14:18:47,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuHmqQAF,2025-08-04 07:58:45,2025-08-04 13:59:49,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuISfQAN,2025-08-04 07:48:04,,Form_Web,4,2,Product Question,Broker Trading,Broker Trading - Derivatives,
500dV00000DuIZ9QAN,2025-08-04 06:07:09,2025-08-05 08:06:20,Email,1,,No Reply,Other,Other - Marketing,
500dV00000DuIhMQAV,2025-08-04 06:20:48,2025-08-06 10:28:41,Form_Mobile,4,4,Product Question,Corporate Actions,Corporate Actions - Stock Split,
